game_id,commence_time,home_team,away_team,bookmaker,market,outcome_name,outcome_price,outcome_point
9936f843966ef49b29f8f61cd41491f1,2026-05-12T22:11:00Z,Cleveland Guardians,Los Angeles Angels,fanduel,spreads,Cleveland Guardians,146,-1.5
9936f843966ef49b29f8f61cd41491f1,2026-05-12T22:11:00Z,Cleveland Guardians,Los Angeles Angels,fanduel,spreads,Los Angeles Angels,-176,1.5
9936f843966ef49b29f8f61cd41491f1,2026-05-12T22:11:00Z,Cleveland Guardians,Los Angeles Angels,fanduel,totals,Over,-108,8.5
9936f843966ef49b29f8f61cd41491f1,2026-05-12T22:11:00Z,Cleveland Guardians,Los Angeles Angels,fanduel,totals,Under,-112,8.5
6d160243347bd35cdb3abf1b2690fda8,2026-05-12T22:36:00Z,Baltimore Orioles,New York Yankees,fanduel,spreads,Baltimore Orioles,-134,1.5
6d160243347bd35cdb3abf1b2690fda8,2026-05-12T22:36:00Z,Baltimore Orioles,New York Yankees,fanduel,spreads,New York Yankees,112,-1.5
6d160243347bd35cdb3abf1b2690fda8,2026-05-12T22:36:00Z,Baltimore Orioles,New York Yankees,fanduel,totals,Over,-115,8.5
6d160243347bd35cdb3abf1b2690fda8,2026-05-12T22:36:00Z,Baltimore Orioles,New York Yankees,fanduel,totals,Under,-105,8.5
6c8098ab353355d002d66e825b4217ab,2026-05-12T22:41:00Z,Cincinnati Reds,Washington Nationals,fanduel,spreads,Cincinnati Reds,136,-1.5
6c8098ab353355d002d66e825b4217ab,2026-05-12T22:41:00Z,Cincinnati Reds,Washington Nationals,fanduel,spreads,Washington Nationals,-164,1.5
6c8098ab353355d002d66e825b4217ab,2026-05-12T22:41:00Z,Cincinnati Reds,Washington Nationals,fanduel,totals,Over,-110,10.0
6c8098ab353355d002d66e825b4217ab,2026-05-12T22:41:00Z,Cincinnati Reds,Washington Nationals,fanduel,totals,Under,-110,10.0
79fa6c856d2a95ff10cb955ab2d424e2,2026-05-12T22:41:00Z,Pittsburgh Pirates,Colorado Rockies,fanduel,spreads,Colorado Rockies,115,1.5
79fa6c856d2a95ff10cb955ab2d424e2,2026-05-12T22:41:00Z,Pittsburgh Pirates,Colorado Rockies,fanduel,spreads,Pittsburgh Pirates,-138,-1.5
79fa6c856d2a95ff10cb955ab2d424e2,2026-05-12T22:41:00Z,Pittsburgh Pirates,Colorado Rockies,fanduel,totals,Over,-112,7.5
79fa6c856d2a95ff10cb955ab2d424e2,2026-05-12T22:41:00Z,Pittsburgh Pirates,Colorado Rockies,fanduel,totals,Under,-108,7.5
07b1faa56850a94bfd3921725fe520a2,2026-05-12T22:46:00Z,Boston Red Sox,Philadelphia Phillies,fanduel,spreads,Boston Red Sox,-144,1.5
07b1faa56850a94bfd3921725fe520a2,2026-05-12T22:46:00Z,Boston Red Sox,Philadelphia Phillies,fanduel,spreads,Philadelphia Phillies,120,-1.5
07b1faa56850a94bfd3921725fe520a2,2026-05-12T22:46:00Z,Boston Red Sox,Philadelphia Phillies,fanduel,totals,Over,100,8.5
